Prompt,Topic,Type,Intent,Country,City,State,Volume,Difficulty,Responses,Mentions,Mention Rate,Platforms
Why is my moving quote so different from others?,Moving Quotes and Pricing,Not branded,informational,US,Orlando,,High,Easy,3,0,0.0%,"Perplexity, ChatGPT, AI Overviews"
Should I hire movers or move myself?,Moving Preparation and Advice,Not branded,informational,US,Orlando,,High,Moderate,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
What do people say about Toro Movers?,Moving Company Vetting,Branded,commercial,US,Orlando,,High,Easy,3,2,66.7%,"Perplexity, ChatGPT, AI Overviews"
Where can I find affordable movers nearby?,Local Moving Services; Moving Quotes and Pricing,Not branded,transactional,US,Orlando,,High,Easy,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
How do I hire Toro Movers for my move?,Moving Logistics and Scheduling,Branded,transactional,US,Orlando,,High,Challenging,3,2,66.7%,"ChatGPT, AI Overviews, Perplexity"
Moving companies that handle furniture disassembly?,Moving Labor Services,Not branded,commercial,US,Orlando,,Very High,Moderate,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
What questions should I ask a moving company?,Moving Company Vetting,Not branded,informational,US,Orlando,,High,Challenging,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Looking to hire movers with bilingual crew,Specialized Moving Needs,Not branded,transactional,US,Orlando,,Low,Challenging,3,2,66.7%,"ChatGPT, AI Overviews, Perplexity"
Where do I book movers for a same-day move?,Local Moving Services; Moving Logistics and Scheduling,Not branded,transactional,US,Orlando,,Good,,3,1,33.3%,"ChatGPT, AI Overviews, Perplexity"
Top-rated apartment movers near me Orlando?,Local Moving Services; Moving Company Vetting,Not branded,commercial,US,Orlando,,Moderate,Easy,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
What should I do before the movers arrive?,Moving Preparation and Advice,Not branded,informational,US,Orlando,,Very High,Moderate,3,0,0.0%,"Perplexity, ChatGPT, AI Overviews"
How much does a local move cost in Orlando?,Local Moving Services; Moving Quotes and Pricing,Not branded,informational,US,Orlando,,Good,Challenging,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Moving companies with background-checked crews?,Moving Company Vetting,Not branded,commercial,US,Orlando,,Very High,Hard,3,2,66.7%,"Perplexity, ChatGPT, AI Overviews"
How much do movers charge per hour?,Moving Quotes and Pricing,Not branded,commercial,US,Orlando,,Low,Moderate,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Which moving companies are bilingual in Florida?,Specialized Moving Needs,Not branded,commercial,US,Orlando,,Good,Very Hard,3,2,66.7%,"ChatGPT, AI Overviews, Perplexity"
I need movers for a two-bedroom apartment move,Local Moving Services,Not branded,transactional,US,Orlando,,Low,Challenging,3,1,33.3%,"ChatGPT, AI Overviews, Perplexity"
Do any Orlando movers offer storage services?,Moving Storage,Not branded,commercial,US,Orlando,,Moderate,Easy,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Which movers offer same-week scheduling in Florida?,Local Moving Services; Moving Logistics and Scheduling,Not branded,commercial,US,Orlando,,Very High,Very Hard,3,1,33.3%,"Perplexity, ChatGPT, AI Overviews"
Which movers have the highest Google ratings?,Moving Company Vetting,Not branded,commercial,US,Orlando,,Low,Hard,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Best moving companies in Orlando Florida area?,Local Moving Services; Moving Company Vetting,Not branded,commercial,US,Orlando,,Very High,Hard,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Book movers for a three-bedroom house move,Local Moving Services,Not branded,transactional,US,Orlando,,Moderate,Hard,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Best movers for office relocations in Orlando?,Office Relocation,Not branded,commercial,US,Orlando,,Moderate,Easy,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Need help loading my U-Haul truck tomorrow,Moving Labor Services; Moving Logistics and Scheduling,Not branded,transactional,US,Orlando,,Very High,Easy,3,0,0.0%,"AI Overviews, Perplexity, ChatGPT"
How do I know if a mover is legitimate?,Moving Company Vetting,Not branded,informational,US,Orlando,,Good,Moderate,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Need movers who handle fragile items carefully,Specialized Moving Needs,Not branded,transactional,US,Orlando,,Low,Moderate,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
How do I pack fragile items for moving?,Specialized Moving Needs; Moving Preparation and Advice,Not branded,informational,US,Orlando,,Moderate,Easy,3,0,0.0%,"Perplexity, ChatGPT, AI Overviews"
Can movers help disassemble my bed frame?,Moving Labor Services,Not branded,transactional,US,Orlando,,Very High,Very Hard,3,0,0.0%,"ChatGPT, AI Overviews, Perplexity"
Can I get a moving quote in 60 seconds?,Moving Quotes and Pricing,Not branded,transactional,US,Orlando,,High,Moderate,3,2,66.7%,"ChatGPT, AI Overviews, Perplexity"
How does Toro Movers compare to competitors?,Moving Company Vetting,Branded,commercial,US,Orlando,,Good,Moderate,3,2,66.7%,"ChatGPT, AI Overviews, Perplexity"
I need labor-only help unloading a truck,Moving Labor Services,Not branded,transactional,US,Orlando,,Moderate,Very Hard,3,1,33.3%,"ChatGPT, AI Overviews, Perplexity"
What's included in full-service moving anyway?,Local Moving Services,Not branded,informational,US,Orlando,,Moderate,Moderate,3,0,0.0%,"Perplexity, ChatGPT, AI Overviews"
Can I get a quote for moving to Clermont?,Local Moving Services; Moving Quotes and Pricing,Not branded,transactional,US,Orlando,,Low,Challenging,3,1,33.3%,"ChatGPT, AI Overviews, Perplexity"
Do Orlando movers offer labor-only services?,Moving Labor Services,Not branded,commercial,US,Orlando,,High,Hard,3,1,33.3%,"ChatGPT, AI Overviews, Perplexity"
Are Toro Movers reviews legitimate on Google?,Moving Company Vetting,Branded,commercial,US,Orlando,,Very High,Very Hard,3,2,66.7%,"ChatGPT, AI Overviews, Perplexity"
